"county.name","median.hhinc"
"Kearny, KS",50996
"Kingman, KS",53848
"Kiowa, KS",49172
"Labette, KS",52334
"Lane, KS",53588
"Leavenworth, KS",70637
"Lincoln, KS",47506
"Linn, KS",52552
"Logan, KS",46742
"Lyon, KS",44334
"McPherson, KS",62210
"Marion, KS",50534
"Marshall, KS",49830
"Meade, KS",57446
"Miami, KS",69273
"Mitchell, KS",53475
"Montgomery, KS",48609
"Morris, KS",50273
"Morton, KS",58136
"Nemaha, KS",56128
"Neosho, KS",46548
"Ness, KS",57183
"Norton, KS",45186
"Osage, KS",54436
"Osborne, KS",46757
"Ottawa, KS",54936
"Pawnee, KS",47861
"Phillips, KS",49501
"Pottawatomie, KS",65851
"Pratt, KS",53838
"Rawlins, KS",47057
"Reno, KS",52259
"Republic, KS",49486
"Rice, KS",47205
"Riley, KS",51287
"Rooks, KS",50371
"Rush, KS",46611
"Russell, KS",49998
"Saline, KS",55134
"Scott, KS",68802
"Sedgwick, KS",62630
"Seward, KS",52468
"Shawnee, KS",59707
"Sheridan, KS",53823
"Sherman, KS",52280
"Smith, KS",48236
"Stafford, KS",46645
"Stanton, KS",53801
"Stevens, KS",57431
"Sumner, KS",59387
"Thomas, KS",50665
"Trego, KS",46658
"Wabaunsee, KS",56981
"Wallace, KS",51785
"Washington, KS",48651
"Wichita, KS",50591
"Wilson, KS",45352
"Woodson, KS",51245
"Wyandotte, KS",48076
"Adair, KY",38446
"Allen, KY",40492
"Anderson, KY",61302
"Ballard, KY",54645
"Barren, KY",49742
"Bath, KY",39213
"Bell, KY",34732
"Boone, KY",76035
"Bourbon, KY",48970
"Boyd, KY",53804
"Boyle, KY",55074
"Bracken, KY",48459
"Breathitt, KY",34650
"Breckinridge, KY",47700
"Bullitt, KY",60720
"Butler, KY",41658
"Caldwell, KY",46136
"Calloway, KY",49047
"Campbell, KY",66448
"Carlisle, KY",43852
"Carroll, KY",57832
"Carter, KY",45843
"Casey, KY",35491
"Christian, KY",47092
"Clark, KY",56809
"Clay, KY",32492
"Clinton, KY",32265
"Crittenden, KY",45070
"Cumberland, KY",36748
"Daviess, KY",53957
"Edmonson, KY",44228
"Elliott, KY",35252
"Estill, KY",38056
"Fayette, KY",65770
"Fleming, KY",42611
"Floyd, KY",40845
"Franklin, KY",60695
"Fulton, KY",38119
"Gallatin, KY",46768
"Garrard, KY",46053
"Grant, KY",54003
"Graves, KY",47904
"Grayson, KY",43885
"Green, KY",51979
"Greenup, KY",51795
"Hancock, KY",50660
"Hardin, KY",57512
"Harlan, KY",38309
"Harrison, KY",48923
"Hart, KY",41380
"Henderson, KY",52886
"Henry, KY",53404
"Hickman, KY",44038
"Hopkins, KY",50209
"Jackson, KY",35632
"Jefferson, KY",62051
"Jessamine, KY",63933
"Johnson, KY",48220
"Kenton, KY",67358
"Knott, KY",38369
"Knox, KY",34212
"Larue, KY",47419
"Laurel, KY",48347
"Lawrence, KY",38605
"Lee, KY",28550
"Leslie, KY",33309
"Letcher, KY",39921
"Lewis, KY",36464
"Lincoln, KY",41909
"Livingston, KY",50226
"Logan, KY",48131
"Lyon, KY",47893
"McCracken, KY",56245
"McCreary, KY",31322
"McLean, KY",52520
"Madison, KY",53318
"Magoffin, KY",32663
"Marion, KY",48550
"Marshall, KY",51451
"Martin, KY",32023
"Mason, KY",51651
"Meade, KY",50683
"Menifee, KY",37538
"Mercer, KY",56360
"Metcalfe, KY",45441
"Monroe, KY",37800
"Montgomery, KY",46357
"Morgan, KY",51836
"Muhlenberg, KY",45717
"Nelson, KY",56383
"Nicholas, KY",42906
"Ohio, KY",44920
"Oldham, KY",100787
"Owen, KY",50769
"Owsley, KY",30950
"Pendleton, KY",51453
"Perry, KY",46769
"Pike, KY",44301
"Powell, KY",39812
"Pulaski, KY",44353
"Robertson, KY",39976
"Rockcastle, KY",35482
"Rowan, KY",45533
"Russell, KY",39797
"Scott, KY",75355
"Shelby, KY",73064
"Simpson, KY",49967
"Spencer, KY",67156
"Taylor, KY",41979
"Todd, KY",47783
"Trigg, KY",54478
"Trimble, KY",53148
"Union, KY",46902
"Warren, KY",58314
"Washington, KY",53038
"Wayne, KY",35986
"Webster, KY",45950
"Whitley, KY",39999
"Wolfe, KY",29307
"Woodford, KY",71107
"Acadia, LA",47311
"Allen, LA",47393
"Ascension, LA",72620
"Assumption, LA",56032
"Avoyelles, LA",43147
"Beauregard, LA",54309
"Bienville, LA",47061
"Bossier, LA",63024
"Caddo, LA",54708
"Calcasieu, LA",59348
"Caldwell, LA",48751
"Cameron, LA",63383
"Catahoula, LA",46614
"Claiborne, LA",43980
"Concordia, LA",38704
"De Soto, LA",50603
"East Baton Rouge, LA",63810
"East Carroll, LA",43744
"East Feliciana, LA",50791
"Evangeline, LA",47531
"Franklin, LA",44376
"Grant, LA",50606
"Iberia, LA",53825
"Iberville, LA",53850
"Jackson, LA",47088
"Jefferson, LA",65373
"Jefferson Davis, LA",50238
"Lafayette, LA",65630
"Lafourche, LA",60697
"La Salle, LA",48995
"Lincoln, LA",48831
"Livingston, LA",61950
"Madison, LA",39532
"Morehouse, LA",41283
"Natchitoches, LA",43010
"Orleans, LA",59880
"Ouachita, LA",54231
